random_nam|redacted_mission_text|state/provinc|countri|social sector|tech sector|redacted_situation_text|
bcbli||il|usa|x||help kid build, design, and tinker by use your skill to spark moment of discoveri! bcbli focus on provid hand on project base mentorship to children in chicago. our chicago coalit has team up with the mayor s offic and lead youth-serv organ to launch a mentor-match platform. our goal for this academ year is to reach 5,000 student with 500 mentor.|
bgebr|our mission is to inspir children to develop their natur curios and hone their investig skill to becom inventor, creator, builder and engin. we support children, parent, and educ with our friend project-bas scienc lesson, which help make learn and do scienc access and enjoy. we are care to emphas the engin design process becaus we care deepli about help children becom more persist and creativ in the face of failur, so they are better equip to handl setback and frustrat wherev they aris. the bgebr is power by iridesc, a scienc educ non-profit that creat and deliv power scienc, engin, and technolog educ to underprivileg children. bgebr is a communiti of scientist, engin and children creat togeth. through this onlin learn platform children are inspir and equip to creat their own invent with the support of train and qualifi mentor.|ca|usa|x||want to help inspir the next generat of inventor? bgebr is one of the key program of iridesc, a scienc educ nonprofit with a dynam communiti of stem profession and children creat togeth. we are seek onlin mentor to provid feedback to elementari and middl school student on their design project. we provid the train; you put about an hour of your time into feedback. student post their project onlin and skill stem profession repli with suggest for improv their design. if you work in a stem field and want to give back to underserv young peopl, we want you! becom an onlin mentor and support children as they creat their own invent on this dynam stem learn platform. help student develop • curios to understand how thing work • creativ to tri new idea • persist to find a solut despit failur. mentor benefit • empow young learner in your local communiti • improv your scienc communic and mentor skill • 1 hour a week commit, mentor onlin from anywher and at anytim|
bkgbp|the mission of bkgbp is to educ student in a divers, safe and nurtur environ through a challeng scienc program that stimul life-long learn, problem-solv, self-esteem, and strive to prepar them to pursu colleg program in various field with emphasi on career in scienc, mathemat, engin, and medicin.|il|usa|x||at bkgbp, more student are particip in the annual high school scienc fair than ever befor. to meet our grow need, we are look for volunt from the stem field to act as judg for our two-day event.|
bnqrw||co|usa|x||the bnqrw award for aspir in comput honor young women at the high-school level for their computing-rel achiev and interest. awarde are select for their comput and it aptitud, leadership abil, academ histori, and plan for post-secondari educ. volunt are need to review and grade applic, which is complet onlin.|
btbmh|at btbmh, we believ indigen leader are the best ambassador to bring the gospel to their local communiti. we come alongsid these leader to equip and train them, and we provid resourc to help them serv their own peopl.|oregon-or|usa|x||our offic use to have a desktop( xp) that was network with a laptop( win 7). we are expir the desktop and purchas a second laptop with win 7. basic we need to network the two window 7 laptop and disengag the network with the xp desktop. also includ is to make sure these two laptop will remain network when we move out of countri to a new isp.|
cgwml|to empow south asian victim of domest violenc by bring them to safeti, help them rebuild their live, and end their cycl of violenc.|texas-tx|usa|x||we are look for program to manag our data. we need to find that fit our need and budget. it is imper to have this in place as our agenc grow. current we can not manag our donor, client, nor volunt.|
chsdl|the remov mountain ministri( rmm) is a not-for-profit organ dedic to allevi hunger in the unit state through food bank, food glean, build communiti food system and farm. rmm creat, support, and strengthen food bank and food pantri throughout the unit state. rmm support exist and develop food pantri and nation food network.|north carolina-nc|usa|x||small new nonprofit need it server setup for the food bank softwar.|
cjquu|artadia support visual artist with unrestrict award and foster connect to a network of opportun. we recogn artist excel in citi across the unit state and introduc local communiti to an intern art convers.|new york-ni|usa|x||we need assist migrat our data from our current nas server to a new server. we will also need help configur the wireless access to the server( in-offic wifi access, no remot access need).|
cqqtg|associ for neurolog impair brain injur children, anib, has been provid servic to peopl with special need. anib is dedic to enabl individu to reach their potenti so that they may live as product as possibl. we encourag integr and inclus in the communiti and are commit to a person-cent process as we work to serv consum and their famili.|new york-ni|usa|x||migrat to the cloud: the associ for neurolog impair brain injur children, anib, provid servic to peopl with special need. anib is dedic to enabl individu to reach their potenti so that they may live as product as possibl. we offer a broad rang of servic for children as young as five and throughout adulthood. we understand that peopl with special need are peopl first and that their individu challeng are just part of what make them special. we have determin that our server are outdat and are consid migrat to the cloud. befor we can make the decis we need someon to assist us with consid the benefit and drawback of have our inform in the cloud. we are specif interest in learn what data could be move to the cloud, would we retain ownership of our data and what are the secur concern of the cloud? have inform easili share and access will allow us to be more effect and serv more special need children and their famili.|
ctqvr|we exist to help communiti solv the most complex problem affect their most vulner, hardest hit neighbor.|new york-ni|usa|x||the brownsvill partnership seek assist in develop a databas to support our effort to place 5,000 brownsvill resid into job. brownsvill brooklyn face mani challeng, chief among them is the communiti lack of employ. for exampl, we are in the begin of the campaign prototyp stage where we are work with three public hous build. 70% of work age resid in these build are unemploy, which is onli slight abov the averag unemploy rate for public hous resid which constitut over 30% of hous in brownsvill. this databas will be the foundat for 1. track the path of a brownsvill resid from assess to placement and 2. track improv in the effici of the system we develop to place resid into job. the data about employ of resid and the barrier in make them employ should be store in a enterpris databas, so it easier to analyz the data and generat intellig report( suggest databas to start with: mysql). for punch in the data( from a questionnair on employ for brownsvill resid), a lightweight web applic should be develop, that would allow for easier input and provid access for multipl user to simultan record/upd the detail( suggest technolog for creat the webapp: open sourc apach tomcat web server and spring framework). onc the applic develop is complet and it deem fit for product use, the applic can be deploy on a cloud base paa solut like red hat openshift or googl app engin. we are veri grate for the opportun to post this project and look forward to collabor on the project in the futur.|
dbhoh|dbhoh provid a wide array of innov program promot a greater awar and understand of both the uniqu need and the uniqu gift of individu with special need while encourag respect and empathi for those face difficult challeng.|ct|usa|x||dbhoh is a volunt organ that reach out to children, teen and young adult with special need in fairfield counti, ct and involv them in a full array of inclus, social experi. to this effect we need help upgrad and set up sale forc non profit 3.0. so we can effici manag our databas and fundrais effort.|
dcole|to provid holist child develop through academ, cultur and life-skil program with activ parent involv.|tx|usa|x||beacon hill understand the need to have current technolog in place and well maintain. technolog help us track and document data, communic with student, parent, partner, donor and the public and ultim fulfil our vision of ensur all student are prepar to lead in a competit, academ and global environ when they graduat from high school. volunt could help us with the research and implement of a databas manag system that provid student, parent and staff project workflow and allow view, track or extract of data, by all staff of the organ. our current “system” which consist of an excel spreadsheet and other applic, is not provid us an effici mean to accomplish this, is not user friend and is inaccess by some staff due to the various file locat and tool in place. over the year we ve research some option, but fund, staff knowledg and time are the most difficult challeng we face in move forward with this. we are open to suggest for other system or way to modifi our current configur.|
djeo|the children chorus of washington provid the best choral music experi for young peopl in the nation capit through it except educ program, perform opportun, and communiti partnership.|dc|usa|x||ccw is a small non-profit that has never had a real databas for track all of our famili, donor, alumni, and audienc member. we have been use excel for all of our record, but we ve grown big enough that we need a real databas to make sure all the inform about our extend famili is in one place. in order to continu expand sustain, we are in search of an afford crm that also has the capac to sell ticket to concert and event( we have not been satisfi with our current ticket vendor), and in an ideal world, to also track chorist registr. these technolog tool will help us spread our mission and our music to a greater audienc and ensur that we can stay in contact with the ccw famili for year to come.|
dlxah|provid urgent need pediatr heart surgeri and follow-up care for indig children from develop countri.|md|usa|x||we are an umbrella organ for communiti villag( virtual communiti that help senior citizen live in their exist home as they get older and need help). our group is call wave( washington area villag exchang). we need a databas to collect donat, due and other organiz inform. the databas must be access via browser and allow various level of control over access author base on role we work with in our organ.|
dmbrm|the mission of dmbrm is to becom the world most wide use solut for compani and individu to elimin food wast in their communiti, make food rescu sustain and univers, and food hunger a thing of the past.|new york-ni|usa|x||rlc would like to develop a mobil applic that will becom the “uber of food rescue”. rlc would like to make it super easi for almost anyon to do a “food rescu run” on their way home after work or after an even out on the town. anyon interest in help out will simpli be abl to pull up the app and see “food rescu run” opportun and commit to one of them.|
dvkrx|the dvkrx mission is to protect the wildlif, wild place, and communiti charact of jackson hole.|wy|usa|x||we have alreadi been use sf for a few year. last year we had a chang in our fiscal year date, and we made the mistak of mess up our standard fy to tri to set up `` custom fy'' and it complet ruin our rollup field we use for some fundrais data. we need those rollup field to be fix and our fiscal year date to be fix. it requir sf code experi.|
dwmxi|medic institut is dedic to align and dissemin scientif data that promot optim health and well.|tx|usa|x||the medic institut is dedic to align and dissemin scientif data that promot optim sexual health and well. our social media page have been creat but are not consist util. one reason be that we are short on staff to do so. we need assist from someon who will help us with some of the task necessari to bring more awar to our organ and engag our audienc in the import convers about optim sexual health and well.|
dxpxa|to provid holist child develop through academ, cultur and life-skil program with activ parent involv.|tx|usa|x||dxpxa seek assist in rethink it current social media strategi. our primari goal is to attract prospect student, parent, donor and partner while foster engag among current student and alumni. secondarili, our aim is to expand nation brand recognit of beacon hill as a lead progress voic in supplement educ polici — serv as both a model and a resourc for policymak. we are seek a volunt who will audit our current social media audienc, recommend method of engag, and aid staff in begin to implement a new, holist social media strategi in line with broader communic goal. a strengthen social media strategi will not onli reinforc our presenc within dalla, but will also allow us to share our except research on earli childhood intervent with educ throughout the countri.|
ehwkw|at the nexus of technolog and human right, movement connect dissid in close societi with individu around the world with skill to help.|new york-ni|usa|x||configur salesforc databas. the system is in place and in use. we need to creat workflow and rule, some report, and revise/clean-up some data structures,|
ehynl|arizona scienc center mission is to inspir, educ and entertain peopl of all age about scienc.|az|usa|x||ehynl s mission is to inspir, educ and entertain peopl of all age about scienc. we reli on volunt to make our mission a realiti. ehynl is alway look for support in stem workshop plan and/or program design. we have ton of great idea but we want more! we are especi seek individu with special skill such as robot, or peopl who might enjoy work in our comput galleri, write curriculum for our camp and much more. if you have ani program design expertis you feel might be valuabl we want you on our team!|
ejdan|to provid qualiti servic that empow low incom individu and famili to becom financi stabl, realiz their full potenti and becom particip citizen and leader in the communiti in which they live.|indiana-in|usa|x||ovo is a non-profit fight poverti in rural southern indiana. we have been provid much need servic in our area for almost 50 year. though our organ has been abl to forg ahead into the 21st centuri, our technolog has not. we are in desper need of assist in identifi where we stand technolog and in what direct we should move forward. as a non-profit, we are unabl to put valuabl fund and resourc toward hire an it expert. we would great appreci and benefit from the expertis that could be provid by a communiti corp volunt to get our technolog up to speed and modern our program and process. we have an immens need and are high motiv to get on the tech bandwagon to better serv our client!|
elalu|a stand-alon independ nonprofit organ that will provid ongo financi and loan servic for our tribal communiti for year to come|louisiana-la|usa|x||elalu, sof, requir a websit to serv it client base. as a new nonprofit startup, louisiana s first nativ american certifi develop fund, sof is schedul technic assist class state-wid within rural tribal locat serv american indian micro-entrepreneur. these client requir technolog servic. addit, sof need to share inform- from schedul, to train initi, to busi resourc. unfortun, sof has minim fund and lack these resourc for a websit. therefor, sof is initi this request for assist.|
eqbho|associ for neurolog impair brain injur children, anib, has been provid servic to peopl with special need. anib is dedic to enabl individu to reach their potenti so that they may live as product as possibl. we encourag integr and inclus in the communiti and are commit to a person-cent process as we work to serv consum and their famili.|new york-ni|usa|x||the associ for neurolog impair brain injur children, anib, provid servic to peopl with special need. anib is dedic to enabl individu to reach their potenti so that they may live as product as possibl. we offer a broad rang of servic for children as young as five and throughout adulthood. we understand that peopl with special need are peopl first and that their individu challeng are just part of what make them special. we have determin that our server are outdat and consid option for replac. befor we make a larg invest in new server we need a volunt to review our overal use of technolog includ hardwar and softwar and make recommend that will support our continu growth. have this inform and general recommend will enabl us to make inform decis about our futur technolog plan and purchas.|
eutfn|our impass belief in the intrins valu of the art and artist, as well as what they can do. art has a uniqu abil to bridg cultur, inspir posit transform in individu live and entir communiti.|ny|usa|x||eutfn( bac) is the lead organ support and connect the fast-grow art and cultur communiti in brooklyn. we give grant, present free and afford art event, train artist and art profession, teach student, incub new project, and promot artist and cultur group across the borough. as brooklyn s cultur anchor sinc 1966, bac has also been the catalyst help the art communiti grow. we ve evolv along with the borough in recent year, but our technolog infrastructur hasn t alway kept pace with our chang need. thus, we to develop a new technolog plan to guid us into the futur. ultim, this project will equip us to better serv the grow number of artist and cultur group in brooklyn, and to connect brooklyn resid of all age and background with art experi.|
exdnn|to offer a high-qual earli childhood educ program to the entir montclair communiti, regardless of a famili abil to pay tuition.|new jersey-nj|usa|x||network upgrad project at the montclair pre-k school: the montclair pre-k school provid earli childhood educ to underserv famili in montclair, nj. mpk has recent initi an ambiti and strateg program to modern the school s technolog capabl with the intent to better support the school s mission, provid student and teacher with modern learn condit, and re-posit mpk s brand to attract more fund from donor. as part of the mpk s technolog transform program, the school is look for assist in re-design and upgrad it network to provid resili, secur, and fast network access throughout the school facil. this upgrad program will includ enhanc to both the wire and the wireless network on the premis. mpk anticip obtain technic support from the school district for the upgrad to the wire network. the focus of this project will be on the wireless capabl of the network. level of effort estim: • durat: 1-2 week • locat: 1 locat in montclair, nj • hardwar: 3-5 router pleas contact robin virgil for more inform|
faccd|we provid kid with a posit learn experi that encompass conserv, wildlif knowledg and manag, firearm safeti and respons, outdoor skill and respect for natur and each other. we strive everi day to be an advoc and a voic for all kid.|tx|usa|x||we provid kid with a posit learn experi that encompass conserv, wildlif knowledg and manag, firearm safeti and respons, outdoor skill and respect for natur and each other. we strive everi day to be an advoc and a voic for all kid. we would like to implement a seri of my first templat so that our young folk can upload a photo and pertin data to creat a printabl pdf to captur and frame the memori of their first hunt, first deer, first fish, first gun, first bow, first target shoot and first bb gun. our site http: //youthoutdoors.org/ is built use drupal 7 and we need a drupal develop to build the custom form. we would also like to save the pdfs into a photo galleri on the site.|
fale|fale is a nonprofit christian organ dedic to make discipl in the least-reach place on earth. we equip indigen leader to plant church and establish compass ministri in their own communiti.|oregon-or|usa|x||i use click and pledg for my donat form. i need to have a faa built on my websit so that donor do not need to go to a portal outsid my websit. i have all the instruct from click and pledg but don t understand code to do it myself. i will design the form and ask you to implement it. bluehost is my web host compani and i use their weebli websit builder.|
fhqkr|to empow south asian victim of domest violenc by bring them to safeti, help them rebuild their live, and end their cycl of violenc.|texas-tx|usa|x||our websit need manag and updat.|
fibc|cmpi will continu provid learn opportun for journalist, citizen, and civil societi activist on conflict-resolv journal, conduct research, and engag in transform mediat. we design, produc, and manag an innov program of high qualiti seminar and confer which promot the share of knowledg and inform, creat opportun for learn, and contribut to the develop of peopl and organ at all level.|ny|usa|x||we want to refresh our websit|
fjhrd|connect communiti and recoveri worker with the resourc they need after a crisi or disast.|new york-ni|usa|x||the fjhrd( icdr) was form in 2013 with the mission of improv the live of survivor of disast throughout the unit state and other countri. it provid inform and communic technolog( ict) tool and resourc to disast survivor, with the goal of empow survivor and their communiti with the abil to lead their own relief and recoveri effort. recoveryhub is the first and onli web platform that connect survivor, relief worker, and donor after a disast to enabl community-l recoveri. the fjhrd is look for a volunt skill in drupal 7 to help enhanc the recoveryhub site and prepar it for launch in late 2014. this is an excit chanc to be part of a small nonprofit startup team implement a technolog solut which will impact thousand of live. contact info@ recoveryhub.net for more inform.|
fjrna|pro bono servic make busi talent avail to organ work to improv societi. we envis a day when pro bono servic will enabl all organ with promis solut to success take on urgent social challeng.|ny|usa|x||taproot is a nonprofit organ that make busi talent avail to organ work to improv societi. we engag the nation s million of busi profession in pro bono servic both through our award-win program and by partner with compani to develop their pro bono program. our mission is to lead, mobil and engag profession in pro bono servic that drive social chang. taproot is seek a pro bono web develop with experi in wordpress, html, and css to assist a team of taproot consult who are in the final stage of a websit redesign for an nyc nonprofit that focus on educ. the ideal consult would provid crucial support to the current web develop on issu around the architectur and design of the new site. pleas contact alanya@ taprootfoundation.org to be connect to the project lead for more detail!|
fovhb|to activ partner with potenti entrepreneur within emerg market to creat job and acceler the path toward sustain social and econom change,|ny|usa|x||she( fovhb) seek to develop market-bas approach to help improv the qualiti of peopl s live in develop countri. in addit to increas educ among girl and women, she has introduc local manufactur, inexpens and eco-friend sanitari pad made of banana fiber for use in rwanda and other develop countri to prevent the alarm drop-out rate of young women from school and work. we re come up to the all-import holiday season and want to updat our websit with news, imag, and video of our work on our websit! we also want to re-do our donat page to make it easi for those interest in donat to do it. we have a bounc rate when peopl visit our invest page and so we want to make chang to improv the user experi|
frfcg|the mission of yes she can is to develop transfer job skill for teen girl and young women with autism spectrum disord to enabl them to join the competit workforc.|new york-ni|usa|x||frfcg., a non-profit found in novemb 2013, is dedic to develop transfer job skill and workplac social skill – through authent work experi – for teen girl in transit from high school to adulthood and for young women with autism spectrum disord to enabl them to gain and sustain employ and build career in the competit job market. yes she can s websit is on wordpress but need a better templat and some plugin. i have corpor web strategi background but need help to get this go. i can write the content. we also need to consid the girl again site for convers to wordpress and put in a manag templat.|
frspj|an educ nonprofit in prototyp, which connect tradit classroom to local nonprofit. this partnership will allow instructor to choos local screen nonprofit that align with their cours content. that connect provid the student with issue-bas learn that they appli authent when they volunt and complet project-bas work for their select nonprofit.|ny|usa|x||hello tech partner, pleas help me match up high school and colleg classroom with local nonprofit. this give the student a more authent learn experi while give the nonprofit much need support. it s a mutual benefici relationship that need our help to make happen in a big way. my nonprofit, frspj, is in immedi need of: 1. someon who can help me with wordpress, so that i can make chang to the site without pay my web design( a tip of the hat to what he s been abl to do). 2. a clever and simpl design( or suggest of one) that entic teacher to launch a classroom caus in three easi and invit step, for exampl. 3. databas work|
fxeem|disabl right help peopl across wisconsin gain access to servic and opportun through it advocaci and legal expertis. we regular challeng system and societi to creat posit chang and improv the live of peopl with disabl.|wisconsin-wi|usa|x||disabl right wisconsin is a privat nonprofit organ which was found in 1977. design by the governor to ensur the right of all state citizen with disabl through individu advocaci and system chang, drw is part of a nation system of feder mandat independ disabl agenc. disabl right wisconsin serv peopl of all age, includ peopl with development disabl, peopl with mental ill, peopl with physic or sensori disabl, and peopl with traumat brain injuri. our websit is a valuabl resourc for individu with disabl includ their caregiv. we feel our current site could provid so much more to a popul who has had so mani cut to program and to chang to their live situat. we have mani staff that have a wealth of inform we can provid to the individu that contact us. our current site doe not reflect that wealth we hold. our resourc are limit becaus of feder cut to our grant. there are so mani element we would like to add, but have limit staff time or limit knowledg in do so. we realli would like to add a more seamless way to review our public instead of just use adob reader. we would like to provid interact qanda on sever issu that impact our client. the design of our site is veri date and need a fresh new look. we need an expert to review our websit and provid recommend on how it can be improv to help us better serv our client.|
fyefv|medic institut is dedic to align and dissemin scientif data that promot optim health and well.|tx|usa|x||the medic institut is dedic to align and dissemin scientif data that promot optim sexual health and well. we redid our websit in 2012 use wordpress. what we have now is a huge improv but it alreadi need some updat. befor we make ani chang we d like to get a better sens of what could be improv. our websit has some specif featur that sometim make it challeng for our constitu to navig. for exampl, we have a free newslett, an onlin store, membership and other resourc on our websit. is there someth els we could do to make it easier for our constitu to find the tool and resourc they need? what can we do to make it more effect?|
girfd|to improv the critic think, cultur enrich and literaci of proviso township by engag volunt in qualiti mentor activ for youth|il|usa|x||the websit usabl assess project will review a websit, use industry-wid best practic, to identifi and categor( and document) potenti usabl issu.|
girhu|girhu will help close the opportun gap in public educ by provid transform apprenticeship and mobil innov lab.|georgia-ga|usa|x||girhu will help close the opportun gap in public educ by provid transform apprenticeship and mobil innov lab. our ste( a) m truck inspir youth to learn scienc, technolog, engin, art and math by bring the coolest tool, equip and mentor direct to school. ste( a) m truck allow youth to design solut, tackl real problem and then build someth togeth. as a vehicl( liter and figur) to close the opportun gap, ste( a) m truck( scienc, technolog, engin, art and math) is both an innov lab and mobil makerspac. we need volunt dure the build phase of this program. the build activ happen over the cours of 10 day, afterschool, and push student to move from brainstorm to craft, build their confid with the avail tool. volunt with expertis in one or more of the follow skill are desir: teach middl school youth 3d printing/cad wood working/cnc routing/met work youth gear comput program and app develop( ie scratch, mit app inventor) basic electronics/arduino our next build phase will take place sever afternoon per week start in mid septemb through mid octob( date tbd) and at kipp south fulton academi: 1286 washington ave east point, ga 30344|
