"random_name"|"redacted_mission_text"|"State/Province"|"Country"|"Social Sector"|"Tech Sector"|"redacted_situation_text"
"BCBLY"||"IL"|"USA"|"x"||"Help kids build,design,and tinker by using your skills to spark moments of discovery! BCBLY focuses on providing hands on project based mentorships to children in Chicago. 

Our Chicago Coalition has teamed up with the Mayor s Office and leading youth-serving organizations to launch a mentor-matching platform. Our goal for this academic year is to reach 5,000 students with 500 mentors."
"BGEBR"|"Our mission is to inspire children to develop their natural curiosity and hone their investigative skills to become inventors, creators, builders and engineers. We support children, parents, and educators with our friendly project-based science lessons, which help make learning and ‘doing’ science accessible and enjoyable. We are careful to emphasize the Engineering Design Process because we care deeply about helping children become more persistent and creative in the face of failure, so they are better equipped to handle setbacks and frustration wherever they arise. The BGEBR is powered by Iridescent, a science education non-profit that creates and delivers powerful science, engineering, and technology education to underprivileged children. BGEBR is a community of scientists, engineers and children creating together. Through this online learning platform children are inspired and equipped to create their own inventions with the support of trained and qualified mentors."|"CA"|"USA"|"x"||"Want to help inspire the next generation of inventors? BGEBR is one of the key programs of Iridescent, a science education nonprofit with a dynamic community of STEM professionals and children creating together. We are seeking online mentors to provide feedback to elementary and middle school students on their design projects. We provide the training; you put about an hour of your time into feedback. Students post their projects online and skilled STEM professionals reply with suggestions for improving their design. If you work in a STEM field and want to give back to underserved young people, we want you! Become an online mentor and support children as they create their own inventions on this dynamic STEM learning platform.

Help Students Develop
•       Curiosity to understand how things work
•       Creativity to try new ideas
•       Persistence to find a solution despite failures. 
 
Mentor Benefits
•       Empower young learners in your local community
•       Improve your science communication and mentoring skills
•       1 hour a week commitment, mentor online from anywhere and at anytime"
"BKGBP"|"the mission of BKGBP is to educate students in a diverse, safe and nurturing environment through a challenging science program that stimulates life-long learning, problem-solving, self-esteem, and strives to prepare them to pursue college programs in various fields with emphasis on careers in science, mathematics, engineering, and medicine."|"IL"|"USA"|"x"||"At BKGBP, more students are participating in the annual high school science fair than ever before. To meet our growing needs, we are looking for volunteers from the STEM fields to act as judges for our two-day event."
"BNQRW"||"CO"|"USA"|"x"||"The BNQRW Award for Aspirations in Computing honors young women at the high-school level for their computing-related achievements and interests. Awardees are selected for their computing and IT aptitude, leadership ability, academic history, and plans for post-secondary education. Volunteers are needed to review and grade applications, which is completed online."
"BTBMH"|"At BTBMH, we believe indigenous leaders are the best ambassadors to bring the gospel to their local community. We come alongside these leaders to equip and train them, and we provide resources to help them serve their own people."|"Oregon-OR"|"USA"|"x"||"Our office used to have a desktop (XP) that was networked with a laptop (Win 7). We are expiring the desktop and purchased a second laptop with Win 7. Basically we need to network the two Windows 7 laptops and disengage the networking with the XP desktop. Also included is to make sure these two laptops will remain networked when we move out of country to a new ISP."
"CGWML"|"To empower South Asian victims of domestic violence by bringing them to safety, helping them rebuild their lives, and end their cycle of violence."|"Texas-TX"|"USA"|"x"||"We are looking for programs to manage our data.  We need to find that fits our need and budget.  It is imperative to have this in place as our agency grows. Currently we cannot manage our donors, clients, nor volunteers."
"CHSDL"|"The Removing Mountains Ministries (RMM) is a not-for-profit organization dedicated to alleviating hunger in the United States through food banking, food gleaning, building community food systems and farming. RMM creates, supports, and strengthens food banks and food pantries throughout the United States. RMM supports existing and developing food pantries and national food networks."|"North Carolina-NC"|"USA"|"x"||"Small new nonprofit needs its servers setup for the food bank software."
"CJQUU"|"Artadia supports visual artists with unrestricted awards and fosters connections to a network of opportunities. We recognize artistic excellence in cities across the United States and introduce local communities to an international art conversation."|"New York-NY"|"USA"|"x"||"We need assistance migrating our data from our current NAS server to a new server. We will also need help configuring the wireless access to the server (in-office wifi access, no remote access needed)."
"CQQTG"|"Association for Neurologically Impaired Brain Injured Children,ANIBIC, has been providing services to people with special needs. ANIBIC is dedicated to enabling individuals to reach their potential so that they may live as productively as possible. We encourage integration and inclusion in the community and are committed to a person-centered process as we work to serve consumers and their families."|"New York-NY"|"USA"|"x"||"Migrating to the Cloud: 
The Association for Neurologically Impaired Brain Injured Children, ANIBIC, provides services to people with special needs. ANIBIC is dedicated to enabling individuals to reach their potential so that they may live as productively as possible.
We offer a broad range of services for children as young as five and throughout adulthood. We understand that people with special needs are people first and that their individual challenges are just part of what makes them special.
 
We have determined that our servers are outdated and are considering migrating to the Cloud. Before we can make the decision we need someone to assist us with considering the benefits and drawbacks of having our information in the Cloud. We are specifically interested in learning what data could be moved to the cloud, would we retain ownership of our data and what are the security concerns of the Cloud? Having information easily shared and accessible will allow us to be more effective and serve more special needs children and their families."
"CTQVR"|"We exist to help communities solve the most complex problems affecting their most vulnerable, hardest hit neighbors."|"New York-NY"|"USA"|"x"||"The Brownsville Partnership seeks assistance in developing a database to support our effort to place 5,000 Brownsville residents into jobs. Brownsville Brooklyn faces many challenges, chief among them is the communities lack of employment. For example, we are in the beginning of the campaigns prototype stage where we are working with three public housing buildings.  70% of working age residents in these buildings are unemployed, which is only slightly above the average unemployment rate for public housing residents which constitutes over 30% of housing in Brownsville. 

This database will be the foundation for 1. tracking the path of a Brownsville resident from assessment to placement and 2. tracking improvements in the efficiency of the system we develop to place residents into jobs. 

The data about employability of residents and the barriers in making them employable should be stored in a enterprise  database, so its easier to analyze the data and generate intelligent reports(suggested database to start with: MySQL).

For punching in the data (from a questionnaire on employability for Brownsville residents), a lightweight web application should be developed, that would allow for easier input and provide access for multiple users to simultaneously record/update the details(suggested technologies for creating the webapp: Open source Apache Tomcat web server and Spring Framework).

Once the application development is complete and its deemed fit for production use, the application can be deployed on a Cloud based PaaS solution like Red Hat OpenShift or Google App Engine.
 
We are very grateful for the opportunity to post this project and look forward to collaborating on the project in the future."
"DBHOH"|"DBHOH provides a wide array of innovative programming promoting a greater awareness and understanding of both the unique needs and the unique gifts of individuals with special needs while encouraging respect and empathy for those facing difficult challenges."|"CT"|"USA"|"x"||"DBHOH is a volunteer organization that reaches out to children, teens and young adults with  special needs in Fairfield County, CT and involves them in a full array of inclusive, social experiences. 
To this effect we need help upgrading and  setting up Sales Force non profit 3.0. so we can efficiently manage our database and fundraising efforts."
"DCOLE"|"To provide holistic child development through academic, cultural and life-skill programs with active parental involvement."|"TX"|"USA"|"x"||"Beacon Hill understands the need to have current technology in place and well maintained. Technology helps us track and document data, communicate with students, parents, partners, donors and the public and ultimately fulfill our vision of ensuring ALL students are prepared to lead in a competitive, academic and global environment when they graduate from High School. 
Volunteers could help us with the research and implementation of a database management system that provides Student,parent and staff project workflow and allows viewing, tracking or extraction of data, by all staff of the organization. Our current “system” which consists of an Excel spreadsheets and other applications, is not providing us an efficient means to accomplish this, is not user friendly and is inaccessible by some staff due to the various file locations and tools in place. Over the years we ve researched some options, but funding, staff knowledge and time are the most difficult challenges we face in moving forward with this. We are open to suggestions for other systems or ways to modify our current configuration."
"DJEOS"|"The Children’s Chorus of Washington provides the best choral music experience for young people in the nation’s capital through its exceptional educational programs, performance opportunities, and community partnerships."|"DC"|"USA"|"x"||"CCW is a small non-profit that has never had a real database for tracking all of our families, donors, alumni, and audience members. We have been using Excel for all of our records, but we ve grown big enough that we need a real database to make sure all the information about our extended family is in one place. In order to continue expanding sustainably, we are in search of an affordable CRM that also has the capacity to sell tickets to concerts and events (we have not been satisfied with our current ticket vendor), and in an ideal world, to also track chorister registration. These technological tools will help us spread our mission and our music to a greater audience and ensure that we can stay in contact with the CCW family for years to come."
"DLXAH"|"providing urgently needed pediatric heart surgery and follow-up care for indigent children from developing countries."|"MD"|"USA"|"x"||"We are an umbrella organization for community villages (virtual communities that help senior citizens live in their existing homes as they get older and need help).  Our group is called WAVE (Washington Area Villages Exchange).  We need a database to collect donations, dues and other organizational information.

The database must be accessible via browser and allow various levels of control over access authority based on roles we work with in our organization."
"DMBRM"|"The mission of DMBRM is to become the world’s most widely used solution for companies and individuals to eliminate food waste in their communities, making food rescue sustainable and universal, and food hunger a thing of the past."|"New York-NY"|"USA"|"x"||"RLC would like to develop a mobile application that will become the “Uber of Food Rescue”. RLC would like to make it super easy for almost anyone to do a “Food Rescue Run” on their way home after work or after an evening out on the town. Anyone interested in helping out will simply be able to pull up the app and see “Food Rescue Run” opportunities and commit to one of them. "
"DVKRX"|"The DVKRX’s mission is to protect the wildlife, wild places, and community character of Jackson Hole."|"WY"|"USA"|"x"||"We have already been using SF for a few years.  Last year we had a change in our fiscal year dates, and we made the mistake of messing up our standard FY to try to set up ""customized FY"" and it completely ruined our rollup fields we use for some fundraising data.  We need those rollup fields to be fixed and our fiscal year dates to be fixed.  It requires SF coding experience."
"DWMXY"|"Medical Institute is dedicated to aligning and disseminating scientific data that promotes optimal health and wellness."|"TX"|"USA"|"x"||"The Medical Institute is dedicated to aligning and disseminating scientific data that promotes optimal sexual health and wellness. Our Social Media pages have been created but are not consistently utilized. One reason being that we are short on staff to do so. We need assistance from someone who will help us with some of the task necessary to bring more awareness to our organization and engage our audience in the important conversation about optimal sexual health and wellness."
"DXPXA"|"To provide holistic child development through academic, cultural and life-skill programs with active parental involvement."|"TX"|"USA"|"x"||"DXPXA seeks assistance in rethinking its current social media strategy. Our primary goal is to attract prospective students, parents, donors and partners while fostering engagement among current students and alumni. Secondarily, our aim is to expand national brand recognition of Beacon Hill as a leading progressive voice in Supplemental education policy — serving as both a model and a resource for policymakers. We are seeking a volunteer who will audit our current social media audiences, recommend methods of engagement, and aid staff in beginning to implement a new, holistic social media strategy in line with broader communications goals.
A strengthened social media strategy will not only reinforce our presence within Dallas, but will also allow us to share our exceptional research on Early Childhood intervention with educators throughout the country."
"EHWKW"|"At the nexus of technology and human rights, Movements connects dissidents in closed societies with individuals around the world with skills to help."|"New York-NY"|"USA"|"x"||"Configure SalesForce database.  The system is in place and in use.  We need to create workflows and rules, some reporters, and revise/clean-up some data structures,"
"EHYNL"|"ARIZONA SCIENCE CENTER’S MISSION IS TO INSPIRE, EDUCATE AND ENTERTAIN PEOPLE OF ALL AGES ABOUT SCIENCE."|"AZ"|"USA"|"x"||"EHYNL s mission is to inspire, educate and entertain people of all ages about science. We rely on volunteers to make our mission a reality. EHYNL is always looking for support in STEM workshop planning and/or program design. We have tons of great ideas but we want more! We are especially seeking individuals with special skills such as robotics, or people who might enjoy working in our computer gallery, writing curriculum for our camps and much more. If you have any program design expertise you feel might be valuable we want you on our team!"
"EJDAN"|"To provide quality services that empower low income individuals and families to become financially stable, realize their full potential and become participating citizens and leaders in the community in which they live."|"Indiana-IN"|"USA"|"x"||"OVO is a non-profit fighting poverty in rural Southern Indiana.  We have been providing much needed services in our area for almost 50 years.  Though our organization has been able to forge ahead into the 21st century, our technology has not.  We are in desperate need of assistance in identifying where we stand technologically and in what direction we should move forward.  As a non-profit, we are unable to put valuable funds and resources towards hiring an IT expert.  We would greatly appreciate and benefit from the expertise that could be provided by a Community Corps volunteer to get our technology up to speed and modernize our programs and processes.  We have an immense need and are highly motivated to get on the tech bandwagon to better serve our clients!"
"ELALU"|"a stand-alone independent nonprofit organization that will provide ongoing financial and loan services for our tribal communities for years to come"|"Louisiana-LA"|"USA"|"x"||"ELALU, SOF, requires a Website to serve its client base.  As a new nonprofit startup, Louisiana s first Native American Certified Development Fund, SOF is scheduling technical assistance classes State-wide within rural tribal locations serving American Indian micro-entrepreneurs.  These clients require technological services. Additionally, SOF needs to share information - from schedules, to training initiatives, to business resources.  Unfortunately, SOF has minimal funds and lacks these resources for a website. Therefore, SOF is initiating this request for assistance."
"EQBHO"|"Association for Neurologically Impaired Brain Injured Children,ANIBIC, has been providing services to people with special needs. ANIBIC is dedicated to enabling individuals to reach their potential so that they may live as productively as possible. We encourage integration and inclusion in the community and are committed to a person-centered process as we work to serve consumers and their families."|"New York-NY"|"USA"|"x"||"The Association for Neurologically Impaired Brain Injured Children, ANIBIC, provides services to people with special needs. ANIBIC is dedicated to enabling individuals to reach their potential so that they may live as productively as possible.
We offer a broad range of services for children as young as five and throughout adulthood. We understand that people with special needs are people first and that their individual challenges are just part of what makes them special.

We have determined that our servers are outdated and considering options for replacement. Before we make a large investment in new servers we need a volunteer to review our overall  use of technology including hardware and software and make recommendations that will support our continued growth. Having this information and general recommendations will enable us to make informed decisions about our future technology planning and purchases."
"EUTFN"|"Our impassioned belief in the intrinsic value of the arts and artists, as well as what they can do. Art has a unique ability to bridge cultures, inspiring positive transformation in individual lives and entire communities."|"NY"|"USA"|"x"||"EUTFN (BAC) is the leading organization supporting and connecting the fast-growing arts and cultural community in Brooklyn. We give grants, present free and affordable arts events, train artists and arts professionals, teach students, incubate new projects, and promote artists and cultural groups across the borough. As Brooklyn s cultural anchor since 1966, BAC has also been the catalyst helping the arts community grow. We ve evolved along with the borough in recent years, but our technological infrastructure hasn t always kept pace with our changing needs. Thus, we to develop a new technology plan to guide us into the future. Ultimately, this project will equip us to better serve the growing number of artists and cultural groups in Brooklyn, and to connect Brooklyn residents of all ages and backgrounds with arts experiences."
"EXDNN"|"to offer a high-quality early childhood education program to the entire Montclair community, regardless of a family’s ability to pay tuition."|"New Jersey-NJ"|"USA"|"x"||"Network upgrade project at the Montclair Pre-K School: 
The Montclair Pre-K School provides early childhood education to underserved families in Montclair, NJ. MPK has recently initiated an ambitious and strategic program to modernize the school s technology capability with the intent to better support the school s mission, provide students and teachers with modern learning conditions, and re-position MPK s brand to attract more funding from donors.
As part of the MPK s technology transformation program, the school is looking for assistance in re-designing and upgrading its network to provide resilient, secure, and fast network access throughout the school facility. This upgrade program will include enhancements to both the wired and the wireless network on the premises.
MPK anticipates obtaining technical support from the school district for the upgrade to the wired network. The focus of this project will be on the wireless capabilities of the network.
Level of effort estimates:
•	Duration: 1-2 weeks
•	Locations: 1 location in Montclair, NJ
•	Hardware: 3-5 routers
Please contact Robin Virgil for more information"
"FACCD"|"We provide kids with a positive learning experience that encompasses conservation, wildlife knowledge and management, firearms safety and responsibility, outdoor skills and respect for nature and each other. We strive every day to be an advocate and a voice for all kids."|"TX"|"USA"|"x"||"We provide kids with a positive learning experience that encompasses conservation, wildlife knowledge and management, firearms safety and responsibility, outdoor skills and respect for nature and each other. We strive every day to be an advocate and a voice for all kids.

We would like to implement a series of   My First  templates so that our young folks can upload a photo and pertinent data to create a printable PDF to capture and frame the memory of their first hunt, first deer, first fish, first gun, first bow, first target shoot and  first BB gun.

Our site http://youthoutdoors.org/ is built using Drupal 7 and we need a Drupal developer to build the custom forms. We would also like to save the PDFs into a photo gallery on the site."
"FALEE"|"FALEE is a nonprofit Christian organization dedicated to making disciples in the least-reached places on earth. We equip indigenous leaders to plant churches and establish compassion ministries in their own communities."|"Oregon-OR"|"USA"|"x"||"I use Click and Pledge for my donation forms. I need to have a FaaS built on my website so that donors do not need to go to a portal outside my website. I have all the instructions from Click and Pledge but don t understand coding to do it myself. I will design the form and ask you to implement it. Bluehost is my web host company and I used their Weebly website builder."
"FHQKR"|"To empower South Asian victims of domestic violence by bringing them to safety, helping them rebuild their lives, and end their cycle of violence."|"Texas-TX"|"USA"|"x"||"Our website needs management and updates."
"FIBCS"|"CMPI will continuously provide learning opportunities for journalists, citizens, and civil society activists on conflict-resolving journalism, conduct research, and engage in transformative mediation. We design, produce, and manage an innovative program of high quality seminars and conferences which promote the sharing of knowledge and information, create opportunities for learning, and contribute to the development of people and organizations at all levels."|"NY"|"USA"|"x"||"We want to refresh our website"
"FJHRD"|"Connecting communities and recovery workers with the resources they need after a crisis or disaster."|"New York-NY"|"USA"|"x"||"The FJHRD (ICDR) was formed in 2013 with the mission of improving the lives of survivors of disaster throughout the United States and other countries. It provides information and communication technology (ICT) tools and resources to disaster survivors, with the goal of empowering survivors and their communities with the ability to lead their own relief and recovery efforts.

RecoveryHub is the first and only web platform that connects survivors, relief workers, and donors after a disaster to enable community-led recovery. The FJHRD is looking for a volunteer skilled in Drupal 7 to help enhance the RecoveryHub site and prepare it for launch in late 2014. This is an exciting chance to be part of a small nonprofit startup team implementing a technology solution which will impact thousands of lives. Contact info@recoveryhub.net for more information."
"FJRNA"|"Pro Bono service makes business talent available to organizations working to improve society. We envision a day when pro bono service will enable all organizations with promising solutions to successfully take on urgent social challenges."|"NY"|"USA"|"x"||"Taproot is a nonprofit organization that makes business talent available to organizations working to improve society. We engage the nation s millions of business professionals in pro bono services both through our award-winning programs and by partnering with companies to develop their pro bono programs. Our mission is to lead, mobilize and engage professionals in pro bono service that drives social change.

Taproot is seeking a pro bono web developer with experience in WordPress, HTML, and CSS to assist a team of Taproot consultants who are in the final stages of a website redesign for an NYC nonprofit that focuses on education. The ideal consultant would provide crucial support to the current web developer on issues around the architecture and design of the new site. Please contact alanya@taprootfoundation.org to be connected to the Project Lead for more details!"
"FOVHB"|"to actively partner with potential entrepreneurs within emerging markets to create jobs and accelerate the path toward sustainable social and economic change,"|"NY"|"USA"|"x"||"SHE (FOVHB) seeks to develop market-based approaches to help improve the quality of people s lives in developing countries. In addition to increasing education among girls and women, SHE has introduced locally manufactured, inexpensive and eco-friendly sanitary pads made of banana fiber for use in Rwanda and other developing countries to prevent the alarming ‘drop-out  rate of young women from school and work.

We re coming up to the all-important holiday season and want to update our website with news, images, and videos of our work on our website! We also want to re-do our donation page to make it easy for those interested in donating to do it. We have a bounce rate when people visit our Invest page and so we want to make changes to improve the user experience"
"FRFCG"|"The mission of Yes She Can is to develop transferable job skills for teen girls and young women with autism spectrum disorders to enable them to join the competitive workforce."|"New York-NY"|"USA"|"x"||"FRFCG., a non-profit founded in November 2013, is dedicated to developing transferable job skills and workplace social skills – through authentic work experience – for teen girls in transition from high school to adulthood and for young women with autism spectrum disorders to enable them to gain and sustain employment and build careers in the competitive job market.

Yes She Can s website is on Wordpress but needs a better template and some plugins.  I have corporate web strategy background but need help to get this going.  I can write the content.  We also need to consider the Girl AGain site for conversion to Wordpress and putting in a manageable template."
"FRSPJ"|"an educational nonprofit in prototype, which connects traditional classrooms to local nonprofits. This partnership will allow instructors to choose locally screened nonprofits that align with their course content. That connection provides the students with issue-based learning that they apply authentically when they volunteer and complete project-based work for their selected nonprofit."|"NY"|"USA"|"x"||"Hello tech partners,
Please help me match up high school and college classrooms with local nonprofits. This gives the students a more authentic learning experience while giving the nonprofits much needed support. It s a mutually beneficial relationship that needs our help to make happen in a big way. 
My nonprofit, FRSPJ, is in immediate need of:
1. someone who can help me with wordpress, so that I can make changes to the site without paying my web designer (a tip of the hat to what he s been able to do).  
2. A clever and simple design (or suggestion of one) that entices teachers to launch a classroom cause in three easy and inviting steps, for example. 
3. database work"
